index,name,time,rating,item,sentiment,sentiment_score,source,어간,noun,v_ad,n_v_ad,review_sentence,replace_slang_sentence,name+item
2173,경쟁사,2023-04-18,5,뿌리영양제,긍정,0.587050065,naver,"[('뿌리다', 'Verb'), ('영양제', 'Noun'), ('좋다', 'Adjective'), ('재구매', 'Noun'), ('하다', 'Verb'), ('사다', 'Verb')]","['영양제', '재구매']","['뿌리다', '좋다', '하다', '사다']","['뿌리다', '영양제', '좋다', '재구매', '하다', '사다']",뿌리는 영양제 좋아서 재구매하면서 샀어요,뿌리다 영양제 좋다 재구매 하다 사다,경쟁사(뿌리영양제)
2189,경쟁사,2023-04-18,5,뿌리영양제,긍정,0.587312302,naver,"[('빠르다', 'Adjective'), ('배송', 'Noun'), ('감사하다', 'Verb')]",['배송'],"['빠르다', '감사하다']","['빠르다', '배송', '감사하다']",빠른 배송 감사합니다,빠르다 배송 감사하다,경쟁사(뿌리영양제)
2190,경쟁사,2023-04-18,5,뿌리영양제,긍정,0.583121431,naver,"[('집', 'Noun'), ('에', 'Josa'), ('있다', 'Adjective'), ('식물', 'Noun'), ('이', 'Josa'), ('죽다', 'Verb'), ('사용', 'Noun'), ('하다', 'Verb'), ('보다', 'Verb')]","['집', '식물', '사용']","['있다', '죽다', '하다', '보다']","['집', '있다', '식물', '죽다', '사용', '하다', '보다']",집에 있는 식물이 죽어가서 사용해 보려고요,집 있다 식물 죽다 사용 하다 보다,경쟁사(뿌리영양제)
2204,경쟁사,2023-04-16,5,뿌리영양제,긍정,0.585658225,naver,"[('뿌리', 'Noun'), ('에', 'Josa'), ('약제', 'Noun'), ('로', 'Josa'), ('우리', 'Noun'), ('집', 'Noun'), ('화초', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('건강하다', 'Adjective'), ('자다', 'Verb'), ('자라다', 'Verb'), ('것', 'Noun'), ('같다', 'Adjective')]","['뿌리', '약제', '우리', '집', '화초', '것']","['건강하다', '자다', '자라다', '같다']","['뿌리', '약제', '우리', '집', '화초', '건강하다', '자다', '자라다', '것', '같다']",뿌리에 약제로 우리 집 화초들이 건강하게 잘 자랄 것 같습니다,뿌리 약제 우리 집 화초 들 건강하다 자다 자라다 것 같다,경쟁사(뿌리영양제)
2214,경쟁사,2023-04-14,5,뿌리영양제,긍정,0.588522765,naver,"[('배송', 'Noun'), ('빠르다', 'Adjective'), ('받다', 'Verb')]",['배송'],"['빠르다', '받다']","['배송', '빠르다', '받다']",배송 빠르게 받았어요,배송 빠르다 받다,경쟁사(뿌리영양제)
2215,경쟁사,2023-04-14,5,뿌리영양제,긍정,0.585889861,naver,"[('이제', 'Noun'), ('사용', 'Noun'), ('하다', 'Verb'), ('보다', 'Verb'), ('효능', 'Noun'), ('변화', 'Noun'), ('를', 'Josa'), ('아직', 'Adverb'), ('은', 'Noun'), ('모르다', 'Verb'), ('이번', 'Noun'), ('에', 'Josa'), ('분갈이', 'Noun'), ('도', 'Josa'), ('묘목', 'Noun'), ('식다', 'Verb'), ('엄청', 'Adverb'), ('많이', 'Adverb'), ('하다', 'Verb'), ('기대', 'Noun'), ('되다', 'Verb')]","['이제', '사용', '효능', '변화', '은', '이번', '분갈이', '묘목', '기대']","['하다', '보다', '모르다', '식다', '하다', '되다']","['이제', '사용', '하다', '보다', '효능', '변화', '은', '모르다', '이번', '분갈이', '묘목', '식다', '하다', '기대', '되다']",이제 사용해 봐서 효능 변화를 아직은 모르겠지만 이번에 분갈이도 묘목 식재도 엄청 많이 해서 기대되네요,이제 사용 하다 보다 효능 변화 아직 은 모르다 이번 분갈이 묘목 식다 엄청 많이 하다 기대 되다,경쟁사(뿌리영양제)
2234,경쟁사,2023-04-12,5,뿌리영양제,긍정,0.583606842,naver,"[('꼭', 'Noun'), ('필요하다', 'Adjective'), ('제품', 'Noun'), ('이에요', 'Josa')]","['꼭', '제품']",['필요하다'],"['꼭', '필요하다', '제품']",꼭 필요하던 제품이에요,꼭 필요하다 제품,경쟁사(뿌리영양제)
2235,경쟁사,2023-04-12,5,뿌리영양제,긍정,0.584390563,naver,"[('문의', 'Noun'), ('에도', 'Josa'), ('빠르다', 'Adjective'), ('친절하다', 'Adjective'), ('답', 'Noun'), ('해주다', 'Verb'), ('벌레', 'Noun'), ('예방', 'Noun'), ('과', 'Josa'), ('영양', 'Noun'), ('이', 'Josa'), ('하다', 'Verb'), ('번', 'Noun'), ('에', 'Josa'), ('되다', 'Verb'), ('거', 'Noun'), ('라', 'Josa'), ('편하다', 'Adjective')]","['문의', '답', '벌레', '예방', '영양', '번', '거']","['빠르다', '친절하다', '해주다', '하다', '되다', '편하다']","['문의', '빠르다', '친절하다', '답', '해주다', '벌레', '예방', '영양', '하다', '번', '되다', '거', '편하다']",문의에도 빠르고 친절하게 답해주시고요 벌레 예방과 영양이 한 번에 되는 거라 편하고요,문의 빠르다 친절하다 답 해주다 벌레 예방 영양 하다 번 되다 거 편하다,경쟁사(뿌리영양제)
2236,경쟁사,2023-04-12,5,뿌리영양제,긍정,0.583394408,naver,"[('몇', 'Noun'), ('번', 'Noun'), ('사용', 'Noun'), ('하다', 'Verb'), ('뿌리파리', 'Noun'), ('가', 'Josa'), ('안', 'Noun'), ('보이다', 'Verb')]","['몇', '번', '사용', '뿌리파리', '안']","['하다', '보이다']","['몇', '번', '사용', '하다', '뿌리파리', '안', '보이다']",몇 번 사용했더니 뿌리파리가 안 보여요,몇 번 사용 하다 뿌리파리 안 보이다,경쟁사(뿌리영양제)
2237,경쟁사,2023-04-12,5,뿌리영양제,긍정,0.583501512,naver,"[('제라늄', 'Noun'), ('꽃', 'Noun'), ('색도', 'Noun'), ('더', 'Noun'), ('진하다', 'Adjective'), ('나오다', 'Verb')]","['제라늄', '꽃', '색도', '더']","['진하다', '나오다']","['제라늄', '꽃', '색도', '더', '진하다', '나오다']",제라늄꽃 색도 더 진하게 나오네요,제라늄 꽃 색도 더 진하다 나오다,경쟁사(뿌리영양제)
