index,name,time,rating,item,sentiment,sentiment_score,source,어간,noun,v_ad,n_v_ad,review_sentence,replace_slang_sentence,name+item
2193,경쟁사,2023-04-17,4,뿌리영양제,부정,0.549188629,naver,"[('기존', 'Noun'), ('에', 'Josa'), ('따사로운햇볕', 'Noun'), ('사용', 'Noun'), ('하고', 'Josa'), ('효과', 'Noun'), ('가', 'Josa'), ('좋다', 'Adjective'), ('뿌리영양제', 'Noun'), ('도', 'Josa'), ('구매', 'Noun'), ('하다', 'Verb')]","['기존', '따사로운햇볕', '사용', '효과', '뿌리영양제', '구매']","['좋다', '하다']","['기존', '따사로운햇볕', '사용', '효과', '좋다', '뿌리영양제', '구매', '하다']",기존에 따사로운햇볕 사용하고 효과가 좋아서 뿌리영양제도 구매했습니다,기존 따사로운햇볕 사용 효과 좋다 뿌리영양제 구매 하다,경쟁사(뿌리영양제)
2194,경쟁사,2023-04-17,4,뿌리영양제,부정,0.546712834,naver,"[('이제', 'Noun'), ('한번', 'Noun'), ('사용', 'Noun'), ('하다', 'Verb'), ('효과', 'Noun'), ('는', 'Josa'), ('기대', 'Noun'), ('중', 'Noun'), ('이다', 'Adjective')]","['이제', '한번', '사용', '효과', '기대', '중']","['하다', '이다']","['이제', '한번', '사용', '하다', '효과', '기대', '중', '이다']",이제 한번 사용해서 효과는 기대 중입니다,이제 한번 사용 하다 효과 기대 중 이다,경쟁사(뿌리영양제)
2195,경쟁사,2023-04-17,4,뿌리영양제,부정,0.545939651,naver,"[('다만', 'Noun'), ('통', 'Noun'), ('에서', 'Josa'), ('소량', 'Noun'), ('계량컵', 'Noun'), ('에', 'Josa'), ('따르다', 'Verb'), ('조심', 'Noun'), ('히', 'Adverb'), ('따르다', 'Verb'), ('꿀꺽', 'Noun'), ('꿀꺽', 'Noun'), ('나오다', 'Verb'), ('한두', 'Modifier'), ('방울', 'Noun'), ('이', 'Josa'), ('계속', 'Noun'), ('흘리다', 'Verb'), ('그게', 'Noun'), ('좀', 'Noun'), ('불편하다', 'Adjective'), ('거', 'Noun'), ('빼다', 'Verb'), ('좋다', 'Adjective')]","['다만', '통', '소량', '계량컵', '조심', '꿀꺽', '꿀꺽', '방울', '계속', '그게', '좀', '거']","['따르다', '따르다', '나오다', '흘리다', '불편하다', '빼다', '좋다']","['다만', '통', '소량', '계량컵', '따르다', '조심', '따르다', '꿀꺽', '꿀꺽', '나오다', '방울', '계속', '흘리다', '그게', '좀', '불편하다', '거', '빼다', '좋다']",다만 통에서 소량 계량컵에 따르는데 조심히 따라도 꿀꺽꿀꺽 나와서 한두 방울이 계속 흘리는데 그게 좀 불편한 거 빼고는 좋습니다,다만 통 소량 계량컵 따르다 조심 히 따르다 꿀꺽 꿀꺽 나오다 한두 방울 계속 흘리다 그게 좀 불편하다 거 빼다 좋다,경쟁사(뿌리영양제)
9498,경쟁사,2023-04-21,4,뿌리영양제,부정,0.546136683,naver,"[('화초', 'Noun'), ('잎', 'Noun'), ('이', 'Josa'), ('왕성', 'Noun'), ('하다', 'Verb'), ('않다', 'Verb'), ('분갈이', 'Noun'), ('하다', 'Verb'), ('새', 'Noun'), ('뿌리', 'Noun'), ('가', 'Josa'), ('거의', 'Noun'), ('안', 'Noun'), ('보이다', 'Verb')]","['화초', '잎', '왕성', '분갈이', '새', '뿌리', '거의', '안']","['하다', '않다', '하다', '보이다']","['화초', '잎', '왕성', '하다', '않다', '분갈이', '하다', '새', '뿌리', '거의', '안', '보이다']",화초잎이 왕성하지 않아서 분갈이했는데 새 뿌리가 거의 안 보이더군요,화초 잎 왕성 하다 않다 분갈이 하다 새 뿌리 거의 안 보이다,경쟁사(뿌리영양제)
9499,경쟁사,2023-04-21,4,뿌리영양제,부정,0.549516374,naver,"[('그래서', 'Adverb'), ('구매', 'Noun'), ('하다', 'Verb'), ('상품', 'Noun'), ('도래', 'Noun'), ('하', 'Suffix'), ('자마자', 'Noun'), ('바로', 'Noun'), ('사용', 'Noun'), ('하다', 'Verb'), ('보다', 'Verb')]","['구매', '상품', '도래', '자마자', '바로', '사용']","['하다', '하다', '보다']","['구매', '하다', '상품', '도래', '자마자', '바로', '사용', '하다', '보다']",그래서 구매했고 상품 도래하자마자 바로 사용해 봤습니다,그래서 구매 하다 상품 도래 하 자마자 바로 사용 하다 보다,경쟁사(뿌리영양제)
9500,경쟁사,2023-04-21,4,뿌리영양제,부정,0.546884534,naver,"[('진정하다', 'Adjective'), ('효과', 'Noun'), ('를', 'Josa'), ('기대하다', 'Adjective'), ('보다', 'Verb')]",['효과'],"['진정하다', '기대하다', '보다']","['진정하다', '효과', '기대하다', '보다']",진정한 효과를 기대해 봅니다,진정하다 효과 기대하다 보다,경쟁사(뿌리영양제)
9501,경쟁사,2023-04-21,4,뿌리영양제,부정,0.54914141,naver,"[('그리고', 'Conjunction'), ('빠르다', 'Adjective'), ('배송', 'Noun'), ('고맙다', 'Adjective')]",['배송'],"['빠르다', '고맙다']","['빠르다', '배송', '고맙다']",그리고 빠른 배송 고맙습니다,그리고 빠르다 배송 고맙다,경쟁사(뿌리영양제)
9513,경쟁사,2023-04-27,4,뿌리영양제,부정,0.549700183,naver,"[('장미', 'Noun'), ('삽', 'Noun'), ('목하', 'Noun'), ('려고', 'Noun'), ('구매', 'Noun'), ('하다', 'Verb')]","['장미', '삽', '목하', '려고', '구매']",['하다'],"['장미', '삽', '목하', '려고', '구매', '하다']",장미 삽목하려고 구매했어요,장미 삽 목하 려고 구매 하다,경쟁사(뿌리영양제)
9514,경쟁사,2023-04-27,4,뿌리영양제,부정,0.547376531,naver,"[('텃밭', 'Noun'), ('에', 'Josa'), ('작물', 'Noun'), ('도', 'Josa'), ('사용', 'Noun'), ('하다', 'Verb'), ('용량', 'Noun'), ('도', 'Josa'), ('크다', 'Verb')]","['텃밭', '작물', '사용', '용량']","['하다', '크다']","['텃밭', '작물', '사용', '하다', '용량', '크다']",텃밭에 작물도 사용하고요 용량도 크네요,텃밭 작물 사용 하다 용량 크다,경쟁사(뿌리영양제)
9515,경쟁사,2023-04-27,4,뿌리영양제,부정,0.547182488,naver,"[('뿌리', 'Noun'), ('가', 'Josa'), ('자다', 'Verb'), ('나오다', 'Verb'), ('기대하다', 'Adjective')]",['뿌리'],"['자다', '나오다', '기대하다']","['뿌리', '자다', '나오다', '기대하다']",뿌리가 잘 나오기를 기대합니다,뿌리 자다 나오다 기대하다,경쟁사(뿌리영양제)
