index,name,time,rating,item,sentiment,sentiment_score,source,어간,noun,v_ad,n_v_ad,review_sentence,replace_slang_sentence,name+item
5667,경쟁사,2023-03-31,5,살충제,긍정,0.583767852,naver,"[('봄', 'Noun'), ('이라', 'Josa'), ('화분', 'Noun'), ('분갈이', 'Noun'), ('때', 'Noun'), ('사용', 'Noun'), ('중이', 'Noun'), ('에요', 'Josa')]","['봄', '화분', '분갈이', '때', '사용', '중이']",[],"['봄', '화분', '분갈이', '때', '사용', '중이']",봄이라 화분 분갈이 때 사용 중이에요,봄 화분 분갈이 때 사용 중이,경쟁사(살충제)
5668,경쟁사,2023-03-31,5,살충제,긍정,0.583449328,naver,"[('처음', 'Noun'), ('사용', 'Noun'), ('한', 'Josa'), ('후', 'Noun'), ('집안', 'Noun'), ('에', 'Josa'), ('도망가다', 'Verb'), ('날', 'Noun'), ('파리', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('하다', 'Verb'), ('2', 'Number'), ('주', 'Noun'), ('보이다', 'Verb')]","['처음', '사용', '후', '집안', '날', '파리', '주']","['도망가다', '하다', '보이다']","['처음', '사용', '후', '집안', '도망가다', '날', '파리', '하다', '주', '보이다']",처음 사용한 후 집안에 도망간 날파리들이 한 2주 보였어요,처음 사용 후 집안 도망가다 날 파리 들 하다 2 주 보이다,경쟁사(살충제)
5669,경쟁사,2023-03-31,5,살충제,긍정,0.583369482,naver,"[('처음', 'Noun'), ('만난', 'Noun'), ('지다', 'Verb'), ('2', 'Number'), ('달', 'Noun'), ('째', 'Suffix'), ('가', 'Josa'), ('되다', 'Verb'), ('집', 'Noun'), ('에', 'Josa'), ('하루살이', 'Noun'), ('가', 'Josa'), ('안', 'Noun'), ('날아다니다', 'Verb')]","['처음', '만난', '달', '집', '하루살이', '안']","['지다', '되다', '날아다니다']","['처음', '만난', '지다', '달', '되다', '집', '하루살이', '안', '날아다니다']",처음 만난 지 2달째가 되니 집에 하루살이가 안 날아다녀요,처음 만난 지다 2 달 째 되다 집 하루살이 안 날아다니다,경쟁사(살충제)
5670,경쟁사,2023-03-31,5,살충제,긍정,0.583521271,naver,"[('기분', 'Noun'), ('인지', 'Josa'), ('봄', 'Noun'), ('마다', 'Josa'), ('텃밭', 'Noun'), ('에', 'Josa'), ('채소', 'Noun'), ('나', 'Josa'), ('허브', 'Noun'), ('를', 'Josa'), ('심다', 'Verb'), ('처음', 'Noun'), ('으로', 'Josa'), ('파프리카', 'Noun'), ('는', 'Josa'), ('싹', 'Noun'), ('을', 'Josa'), ('자다', 'Verb'), ('안', 'Noun'), ('트', 'Noun'), ('고', 'Josa'), ('있다', 'Adjective'), ('나머지', 'Noun'), ('식물', 'Noun'), ('들', 'Suffix'), ('은', 'Josa'), ('모두', 'Noun'), ('자다', 'Verb'), ('자라다', 'Verb'), ('있다', 'Adjective')]","['기분', '봄', '텃밭', '채소', '허브', '처음', '파프리카', '싹', '안', '트', '나머지', '식물', '모두']","['심다', '자다', '있다', '자다', '자라다', '있다']","['기분', '봄', '텃밭', '채소', '허브', '심다', '처음', '파프리카', '싹', '자다', '안', '트', '있다', '나머지', '식물', '모두', '자다', '자라다', '있다']",기분인지 봄마다 텃밭에 채소나 허브를 심는데 처음으로 파프리카는 싹을 잘 안 트고 있지만 나머지 식물들은 모두 잘 자라고 있습니다,기분 봄 텃밭 채소 허브 심다 처음 파프리카 싹 자다 안 트 있다 나머지 식물 들 모두 자다 자라다 있다,경쟁사(살충제)
5671,경쟁사,2023-03-31,5,살충제,긍정,0.583860263,naver,"[('벌레', 'Noun'), ('가', 'Josa'), ('없어지다', 'Verb'), ('너무', 'Adverb'), ('좋다', 'Adjective')]",['벌레'],"['없어지다', '좋다']","['벌레', '없어지다', '좋다']",벌레가 없어져서 너무 좋아요,벌레 없어지다 너무 좋다,경쟁사(살충제)
5672,경쟁사,2023-03-31,5,살충제,긍정,0.586791781,naver,"[('여름', 'Noun'), ('까지', 'Josa'), ('지켜보다', 'Verb')]",['여름'],['지켜보다'],"['여름', '지켜보다']",여름까지 지켜보겠습니다,여름 지켜보다,경쟁사(살충제)
5673,경쟁사,2023-04-27,5,살충제,긍정,0.586509633,naver,"[('자다', 'Verb'), ('받다', 'Verb')]",[],"['자다', '받다']","['자다', '받다']",잘 받았습니다,자다 받다,경쟁사(살충제)
5674,경쟁사,2023-04-27,5,살충제,긍정,0.588982591,naver,"[('효과', 'Noun'), ('완전하다', 'Adjective'), ('기대', 'Noun'), ('되다', 'Verb')]","['효과', '기대']","['완전하다', '되다']","['효과', '완전하다', '기대', '되다']",효과 완전히 기대되네요,효과 완전하다 기대 되다,경쟁사(살충제)
5675,경쟁사,2023-04-27,5,살충제,긍정,0.585758945,naver,"[('빠르다', 'Adjective'), ('배송', 'Noun'), ('도', 'Josa'), ('감사', 'Noun'), ('드리다', 'Verb')]","['배송', '감사']","['빠르다', '드리다']","['빠르다', '배송', '감사', '드리다']",빠른 배송도 감사드립니다,빠르다 배송 감사 드리다,경쟁사(살충제)
5676,경쟁사,2023-04-20,5,살충제,긍정,0.587092978,naver,"[('지난해', 'Noun'), ('뿌리파리', 'Noun'), ('때문', 'Noun'), ('에', 'Josa'), ('반신반의', 'Noun'), ('구매', 'Noun'), ('하다', 'Verb'), ('효과', 'Noun'), ('있다', 'Adjective'), ('사용', 'Noun'), ('하다', 'Verb'), ('편하다', 'Adjective')]","['지난해', '뿌리파리', '때문', '반신반의', '구매', '효과', '사용']","['하다', '있다', '하다', '편하다']","['지난해', '뿌리파리', '때문', '반신반의', '구매', '하다', '효과', '있다', '사용', '하다', '편하다']",지난해 뿌리파리 때문에 반신반의 구매했는데 효과 있었고 사용하기 편했어요,지난해 뿌리파리 때문 반신반의 구매 하다 효과 있다 사용 하다 편하다,경쟁사(살충제)
5677,경쟁사,2023-04-20,5,살충제,긍정,0.585172966,naver,"[('그래서', 'Adverb'), ('재구매', 'Noun'), ('하다', 'Verb')]",['재구매'],['하다'],"['재구매', '하다']",그래서 재구매합니다,그래서 재구매 하다,경쟁사(살충제)
