index,name,time,rating,item,sentiment,sentiment_score,source,어간,noun,v_ad,n_v_ad,review_sentence,replace_slang_sentence,name+item
5665,경쟁사,2023-04-23,4,살충제,부정,0.549601388,naver,"[('처음', 'Noun'), ('텃밭', 'Noun'), ('농사', 'Noun'), ('하다', 'Verb'), ('무엇', 'Noun'), ('무엇', 'Noun'), ('이', 'Josa'), ('필요하다', 'Adjective'), ('적당하다', 'Adjective'), ('자다', 'Verb'), ('모르다', 'Verb'), ('여기저기', 'Noun'), ('유튜브', 'Noun'), ('보다', 'Verb'), ('토양살충제', 'Noun'), ('퇴비', 'Noun'), ('알칼리성', 'Noun'), ('비료', 'Noun'), ('복합', 'Noun'), ('비료', 'Noun'), ('를', 'Josa'), ('섞다', 'Verb'), ('뿌리다', 'Verb'), ('보다', 'Verb')]","['처음', '텃밭', '농사', '무엇', '무엇', '여기저기', '유튜브', '토양살충제', '퇴비', '알칼리성', '비료', '복합', '비료']","['하다', '필요하다', '적당하다', '자다', '모르다', '보다', '섞다', '뿌리다', '보다']","['처음', '텃밭', '농사', '하다', '무엇', '무엇', '필요하다', '적당하다', '자다', '모르다', '여기저기', '유튜브', '보다', '토양살충제', '퇴비', '알칼리성', '비료', '복합', '비료', '섞다', '뿌리다', '보다']",처음 텃밭 농사하는지라 무엇무엇이 필요한지 적당한지 잘 모르지만 여기저기 유튜브 보면서 토양살충제 퇴비 알칼리성 비료 복합비료를 섞어서 뿌려보았어요,처음 텃밭 농사 하다 무엇 무엇 필요하다 적당하다 자다 모르다 여기저기 유튜브 보다 토양살충제 퇴비 알칼리성 비료 복합 비료 섞다 뿌리다 보다,경쟁사(살충제)
5666,경쟁사,2023-04-23,4,살충제,부정,0.547848213,naver,"[('좀', 'Noun'), ('더', 'Noun'), ('기다리다', 'Verb'), ('보다', 'Verb'), ('하하', 'Noun')]","['좀', '더', '하하']","['기다리다', '보다']","['좀', '더', '기다리다', '보다', '하하']",좀 더 기다려 봅시다 하하,좀 더 기다리다 보다 하하,경쟁사(살충제)
5678,경쟁사,2023-04-23,4,살충제,부정,0.548012769,naver,"[('인체', 'Noun'), ('에', 'Josa'), ('무', 'Noun'), ('하다', 'Verb'), ('병충해', 'Noun'), ('관리', 'Noun'), ('미생물', 'Noun'), ('입', 'Noun'), ('제로', 'Noun'), ('안전하다', 'Adjective'), ('텃밭', 'Noun'), ('에', 'Josa'), ('사용', 'Noun'), ('하다', 'Verb'), ('구매', 'Noun'), ('하다', 'Verb')]","['인체', '무', '병충해', '관리', '미생물', '입', '제로', '텃밭', '사용', '구매']","['하다', '안전하다', '하다', '하다']","['인체', '무', '하다', '병충해', '관리', '미생물', '입', '제로', '안전하다', '텃밭', '사용', '하다', '구매', '하다']",인체에 무해한 병충해 관리 미생물 입제로 안전해서 텃밭에 사용하려고 구매했어요,인체 무 하다 병충해 관리 미생물 입 제로 안전하다 텃밭 사용 하다 구매 하다,경쟁사(살충제)
5685,경쟁사,2023-04-21,4,살충제,부정,0.54881255,naver,"[('뿌리파리', 'Noun'), ('에', 'Josa'), ('좋다', 'Adjective'), ('하다', 'Verb'), ('구입', 'Noun'), ('하다', 'Verb')]","['뿌리파리', '구입']","['좋다', '하다', '하다']","['뿌리파리', '좋다', '하다', '구입', '하다']",뿌리파리에 좋다고 해서 구입했어요,뿌리파리 좋다 하다 구입 하다,경쟁사(살충제)
5686,경쟁사,2023-04-21,4,살충제,부정,0.548627627,naver,"[('효과', 'Noun'), ('가', 'Josa'), ('있다', 'Adjective'), ('좋다', 'Adjective')]",['효과'],"['있다', '좋다']","['효과', '있다', '좋다']",효과가 있으면 좋겠네요,효과 있다 좋다,경쟁사(살충제)
5687,경쟁사,2023-04-25,4,살충제,부정,0.5449972,naver,"[('텃밭', 'Noun'), ('을', 'Josa'), ('시작', 'Noun'), ('하다', 'Verb'), ('알', 'Noun'), ('게', 'Josa'), ('되다', 'Verb'), ('상품', 'Noun'), ('이다', 'Adjective')]","['텃밭', '시작', '알', '상품']","['하다', '되다', '이다']","['텃밭', '시작', '하다', '알', '되다', '상품', '이다']",텃밭을 시작하며 알게 된 상품입니다,텃밭 시작 하다 알 되다 상품 이다,경쟁사(살충제)
5688,경쟁사,2023-04-25,4,살충제,부정,0.546551672,naver,"[('1', 'Number'), ('5', 'Number'), ('kg', 'Alpha'), ('포장', 'Noun'), ('인데', 'Josa'), ('백', 'Noun'), ('평이', 'Noun'), ('기준', 'Noun'), ('이다', 'Adjective')]","['포장', '백', '평이', '기준']",['이다'],"['포장', '백', '평이', '기준', '이다']",1 5kg 포장인데 백 평이 기준입니다,1 5 kg 포장 백 평이 기준 이다,경쟁사(살충제)
5689,경쟁사,2023-04-25,4,살충제,부정,0.545031247,naver,"[('밭', 'Noun'), ('크기', 'Noun'), ('에', 'Josa'), ('따르다', 'Verb'), ('얼마', 'Noun'), ('를', 'Josa'), ('써다', 'Verb'), ('하다', 'Verb'), ('초보자', 'Noun'), ('에게는', 'Josa'), ('너무', 'Adverb'), ('막연하다', 'Adjective')]","['밭', '크기', '얼마', '초보자']","['따르다', '써다', '하다', '막연하다']","['밭', '크기', '따르다', '얼마', '써다', '하다', '초보자', '막연하다']",밭 크기에 따라 얼마를 써야 할지 초보자에게는 너무 막연하네요,밭 크기 따르다 얼마 써다 하다 초보자 너무 막연하다,경쟁사(살충제)
5690,경쟁사,2023-04-25,4,살충제,부정,0.548113692,naver,"[('스푼', 'Noun'), ('같다', 'Adjective'), ('작다', 'Adjective'), ('용기', 'Noun'), ('를', 'Josa'), ('동봉', 'Noun'), ('하다', 'Verb'), ('고추', 'Noun'), ('하다', 'Verb'), ('포기', 'Noun'), ('에', 'Josa'), ('반', 'Noun'), ('스푼', 'Noun'), ('뿌리다', 'Verb'), ('식', 'Noun'), ('으로', 'Josa'), ('사', 'Modifier'), ('용량', 'Noun'), ('을', 'Josa'), ('구체', 'Noun'), ('적', 'Suffix'), ('으로', 'Josa'), ('알다', 'Verb'), ('도움', 'Noun'), ('이', 'Josa'), ('되다', 'Verb'), ('것', 'Noun'), ('같다', 'Adjective')]","['스푼', '용기', '동봉', '고추', '포기', '반', '스푼', '식', '용량', '구체', '도움', '것']","['같다', '작다', '하다', '하다', '뿌리다', '알다', '되다', '같다']","['스푼', '같다', '작다', '용기', '동봉', '하다', '고추', '하다', '포기', '반', '스푼', '뿌리다', '식', '용량', '구체', '알다', '도움', '되다', '것', '같다']",스푼 같은 작은 용기를 동봉해서 고추 한 포기에 반 스푼 뿌려주라는 식으로 사용량을 구체적으로 알려주시면 도움이 될 것 같습니다,스푼 같다 작다 용기 동봉 하다 고추 하다 포기 반 스푼 뿌리다 식 사 용량 구체 적 알다 도움 되다 것 같다,경쟁사(살충제)
5691,경쟁사,2023-04-18,4,살충제,부정,0.547632232,naver,"[('아직', 'Adverb'), ('사용', 'Noun'), ('하다', 'Verb'), ('않다', 'Verb'), ('조만간', 'Noun'), ('모조', 'Noun'), ('정식', 'Noun'), ('때', 'Noun'), ('사용', 'Noun'), ('하다', 'Verb'), ('계획', 'Noun'), ('임', 'Noun')]","['사용', '조만간', '모조', '정식', '때', '사용', '계획', '임']","['하다', '않다', '하다']","['사용', '하다', '않다', '조만간', '모조', '정식', '때', '사용', '하다', '계획', '임']",아직 사용하지 않았지만 조만간 모조 정식 때 사용할 계획임,아직 사용 하다 않다 조만간 모조 정식 때 사용 하다 계획 임,경쟁사(살충제)
