index,name,time,rating,item,sentiment,sentiment_score,source,어간,noun,v_ad,n_v_ad,review_sentence,replace_slang_sentence,name+item
12262,경쟁사,2022-04-26,5,식물등,긍정,0.587679818,naver,"[('제품', 'Noun'), ('완전', 'Noun'), ('만족하다', 'Adjective')]","['제품', '완전']",['만족하다'],"['제품', '완전', '만족하다']",제품 완전 만족합니다,제품 완전 만족하다,경쟁사(식물등)
12263,경쟁사,2022-04-26,5,식물등,긍정,0.587849846,naver,"[('방', 'Noun'), ('에서', 'Josa'), ('식물', 'Noun'), ('기르다', 'Verb'), ('분', 'Noun'), ('들', 'Suffix'), ('께', 'Josa'), ('완전', 'Noun'), ('강추', 'Noun'), ('하다', 'Verb')]","['방', '식물', '분', '완전', '강추']","['기르다', '하다']","['방', '식물', '기르다', '분', '완전', '강추', '하다']",방에서 식물 기르시는 분들께 완전 강추합니다,방 식물 기르다 분 들 완전 강추 하다,경쟁사(식물등)
12264,경쟁사,2022-04-26,5,식물등,긍정,0.584342533,naver,"[('제품', 'Noun'), ('성능', 'Noun'), ('인테리어', 'Noun'), ('모두', 'Noun'), ('만족하다', 'Adjective'), ('의외', 'Noun'), ('의', 'Josa'), ('기능', 'Noun'), ('으로는', 'Josa'), ('타이머', 'Noun'), ('로', 'Josa'), ('켜지다', 'Verb'), ('빛', 'Noun'), ('으로', 'Josa'), ('사람', 'Noun'), ('도', 'Josa'), ('깨우다', 'Verb'), ('알람', 'Noun'), ('기능', 'Noun'), ('도', 'Josa'), ('있다', 'Adjective')]","['제품', '성능', '인테리어', '모두', '의외', '기능', '타이머', '빛', '사람', '알람', '기능']","['만족하다', '켜지다', '깨우다', '있다']","['제품', '성능', '인테리어', '모두', '만족하다', '의외', '기능', '타이머', '켜지다', '빛', '사람', '깨우다', '알람', '기능', '있다']",제품 성능 인테리어 모두 만족하고 의외의 기능으로는 타이머로 켜지는 빛으로 사람도 깨워주는 알람 기능도 있어요,제품 성능 인테리어 모두 만족하다 의외 기능 타이머 켜지다 빛 사람 깨우다 알람 기능 있다,경쟁사(식물등)
12265,경쟁사,2022-04-26,5,식물등,긍정,0.583123356,naver,"[('제', 'Noun'), ('가', 'Josa'), ('식물', 'Noun'), ('등', 'Noun'), ('을', 'Josa'), ('구매', 'Noun'), ('하다', 'Verb'), ('고민', 'Noun'), ('하고', 'Josa'), ('그리고', 'Conjunction'), ('구매', 'Noun'), ('한', 'Josa'), ('결과', 'Noun'), ('만족하다', 'Adjective'), ('부분', 'Noun'), ('에', 'Josa'), ('대해', 'Noun'), ('서', 'Josa'), ('5', 'Number'), ('가지', 'Noun'), ('로', 'Josa'), ('정리', 'Noun'), ('해보다', 'Verb'), ('하다', 'Verb')]","['제', '식물', '등', '구매', '고민', '구매', '결과', '부분', '대해', '가지', '정리']","['하다', '만족하다', '해보다', '하다']","['제', '식물', '등', '구매', '하다', '고민', '구매', '결과', '만족하다', '부분', '대해', '가지', '정리', '해보다', '하다']",제가 식물등을 구매하기까지 고민하고 그리고 구매한 결과 만족한 부분에 대해서 5가지로 정리해보려 합니다,제 식물 등 구매 하다 고민 그리고 구매 결과 만족하다 부분 대해 5 가지 정리 해보다 하다,경쟁사(식물등)
12266,경쟁사,2022-04-26,5,식물등,긍정,0.585797957,naver,"[('1', 'Number'), ('부피', 'Noun'), ('일반', 'Noun'), ('적', 'Suffix'), ('인', 'Josa'), ('식물', 'Noun'), ('등', 'Noun'), ('은', 'Josa'), ('부피', 'Noun'), ('가', 'Josa'), ('크다', 'Verb'), ('보다', 'Verb'), ('책상', 'Noun'), ('위', 'Noun'), ('피아노', 'Noun'), ('위', 'Noun'), ('에서', 'Josa'), ('식물', 'Noun'), ('을', 'Josa'), ('기르다', 'Verb'), ('하다', 'Verb'), ('제', 'Noun'), ('니즈', 'Noun'), ('에는', 'Josa'), ('맞다', 'Verb'), ('않다', 'Verb')]","['부피', '일반', '식물', '등', '부피', '책상', '위', '피아노', '위', '식물', '제', '니즈']","['크다', '보다', '기르다', '하다', '맞다', '않다']","['부피', '일반', '식물', '등', '부피', '크다', '보다', '책상', '위', '피아노', '위', '식물', '기르다', '하다', '제', '니즈', '맞다', '않다']",1 부피 일반적인 식물등은 부피가 크다보니 책상 위 피아노 위에서 식물을 길러야 하는 제 니즈에는 맞지 않았습니다,1 부피 일반 적 식물 등 부피 크다 보다 책상 위 피아노 위 식물 기르다 하다 제 니즈 맞다 않다,경쟁사(식물등)
12267,경쟁사,2022-04-26,5,식물등,긍정,0.586449951,naver,"[('하지만', 'Conjunction'), ('빛', 'Noun'), ('뿌리', 'Noun'), ('개', 'Suffix'), ('의', 'Josa'), ('경우', 'Noun'), ('화분', 'Noun'), ('에', 'Josa'), ('등', 'Noun'), ('을', 'Josa'), ('직접', 'Noun'), ('꽂다', 'Verb'), ('쓸다', 'Verb'), ('수', 'Noun'), ('있다', 'Adjective'), ('부피', 'Noun'), ('를', 'Josa'), ('매우', 'Noun'), ('적다', 'Verb'), ('차지', 'Noun'), ('하다', 'Verb'), ('좋다', 'Adjective')]","['빛', '뿌리', '경우', '화분', '등', '직접', '수', '부피', '매우', '차지']","['꽂다', '쓸다', '있다', '적다', '하다', '좋다']","['빛', '뿌리', '경우', '화분', '등', '직접', '꽂다', '쓸다', '수', '있다', '부피', '매우', '적다', '차지', '하다', '좋다']",하지만 빛뿌리개의 경우 화분에등을 직접 꽂아서 쓸 수 있어서 부피를 매우 적게 차지해서 좋았어요,하지만 빛 뿌리 개 경우 화분 등 직접 꽂다 쓸다 수 있다 부피 매우 적다 차지 하다 좋다,경쟁사(식물등)
12268,경쟁사,2022-04-26,5,식물등,긍정,0.585719427,naver,"[('그리고', 'Conjunction'), ('스탠드', 'Noun'), ('식', 'Noun'), ('으로', 'Josa'), ('새우다', 'Verb'), ('부피', 'Noun'), ('를', 'Josa'), ('별로', 'Noun'), ('차지', 'Noun'), ('하다', 'Verb'), ('않다', 'Verb'), ('좋다', 'Adjective')]","['스탠드', '식', '부피', '별로', '차지']","['새우다', '하다', '않다', '좋다']","['스탠드', '식', '새우다', '부피', '별로', '차지', '하다', '않다', '좋다']",그리고 스탠드 식으로 새워놓더라도 부피를 별로 차지하지 않아서 좋네요,그리고 스탠드 식 새우다 부피 별로 차지 하다 않다 좋다,경쟁사(식물등)
12269,경쟁사,2022-04-26,5,식물등,긍정,0.584013167,naver,"[('저', 'Noun'), ('는', 'Josa'), ('화분', 'Noun'), ('이', 'Josa'), ('작다', 'Adjective'), ('율마', 'Noun'), ('에는', 'Josa'), ('스탠드', 'Noun'), ('식', 'Noun'), ('으로', 'Josa'), ('세우다', 'Verb'), ('어항', 'Noun'), ('식', 'Suffix'), ('다육식물', 'Noun'), ('이', 'Suffix'), ('에는', 'Josa'), ('꽂다', 'Verb')]","['저', '화분', '율마', '스탠드', '식', '어항', '다육식물']","['작다', '세우다', '꽂다']","['저', '화분', '작다', '율마', '스탠드', '식', '세우다', '어항', '다육식물', '꽂다']",저는 화분이 작은 율마에는 스탠드 식으로 세워놓았고 어항식 다육식물이에는 꽂아놓았아요,저 화분 작다 율마 스탠드 식 세우다 어항 식 다육식물 이 꽂다,경쟁사(식물등)
12270,경쟁사,2022-04-26,5,식물등,긍정,0.585555378,naver,"[('부피', 'Noun'), ('를', 'Josa'), ('별로', 'Noun'), ('차지', 'Noun'), ('하다', 'Verb'), ('않다', 'Verb'), ('방', 'Noun'), ('곳곳', 'Noun'), ('에', 'Josa'), ('식물', 'Noun'), ('을', 'Josa'), ('둘', 'Noun'), ('수', 'Noun'), ('있다', 'Adjective'), ('되어다', 'Verb')]","['부피', '별로', '차지', '방', '곳곳', '식물', '둘', '수']","['하다', '않다', '있다', '되어다']","['부피', '별로', '차지', '하다', '않다', '방', '곳곳', '식물', '둘', '수', '있다', '되어다']",부피를 별로 차지하지 않으니 방 곳곳에 식물을 둘 수 있게 되었습니다,부피 별로 차지 하다 않다 방 곳곳 식물 둘 수 있다 되어다,경쟁사(식물등)
12271,경쟁사,2022-04-26,5,식물등,긍정,0.585224086,naver,"[('2', 'Number'), ('식물', 'Noun'), ('등', 'Noun'), ('과', 'Josa'), ('식물', 'Noun'), ('사이', 'Noun'), ('의', 'Josa'), ('거리', 'Noun'), ('스탠드', 'Noun'), ('길이', 'Noun'), ('조절', 'Noun'), ('이', 'Josa'), ('자유롭다', 'Adjective'), ('되다', 'Verb'), ('보다', 'Verb'), ('빛', 'Noun'), ('이', 'Josa'), ('너무', 'Adverb'), ('가깝다', 'Adjective'), ('내지', 'Noun'), ('는', 'Josa'), ('식물', 'Noun'), ('이', 'Josa'), ('너무', 'Adverb'), ('커지다', 'Verb'), ('식물', 'Noun'), ('등', 'Noun'), ('사이즈', 'Noun'), ('가', 'Josa'), ('안', 'Noun'), ('맞다', 'Verb'), ('걱정', 'Noun'), ('하다', 'Verb'), ('않다', 'Verb'), ('돼다', 'Verb')]","['식물', '등', '식물', '사이', '거리', '스탠드', '길이', '조절', '빛', '내지', '식물', '식물', '등', '사이즈', '안', '걱정']","['자유롭다', '되다', '보다', '가깝다', '커지다', '맞다', '하다', '않다', '돼다']","['식물', '등', '식물', '사이', '거리', '스탠드', '길이', '조절', '자유롭다', '되다', '보다', '빛', '가깝다', '내지', '식물', '커지다', '식물', '등', '사이즈', '안', '맞다', '걱정', '하다', '않다', '돼다']",2 식물등과 식물 사이의 거리 스탠드 길이 조절이 자유롭게 되다보니 빛이 너무 가까워서 내지는 식물이 너무 커져서 식물등 사이즈가 안 맞을까봐 걱정하지 않아도 됐어요,2 식물 등 식물 사이 거리 스탠드 길이 조절 자유롭다 되다 보다 빛 너무 가깝다 내지 식물 너무 커지다 식물 등 사이즈 안 맞다 걱정 하다 않다 돼다,경쟁사(식물등)
