index,name,time,rating,item,sentiment,sentiment_score,source,어간,noun,v_ad,n_v_ad,review_sentence,replace_slang_sentence,name+item
2582,경쟁사,2023-04-25,5,식물영양제,긍정,0.584037435,naver,"[('덕분', 'Noun'), ('에', 'Josa'), ('튼튼하다', 'Adjective'), ('자다', 'Verb'), ('자라다', 'Verb'), ('것', 'Noun'), ('같다', 'Adjective')]","['덕분', '것']","['튼튼하다', '자다', '자라다', '같다']","['덕분', '튼튼하다', '자다', '자라다', '것', '같다']",덕분에 튼튼하게 잘 자라는 것 같습니다,덕분 튼튼하다 자다 자라다 것 같다,경쟁사(식물영양제)
2586,경쟁사,2023-04-27,5,식물영양제,긍정,0.586352271,naver,"[('이', 'Determiner'), ('거', 'Noun'), ('1년', 'Number'), ('에', 'Foreign'), ('하다', 'Verb'), ('번', 'Noun'), ('씩', 'Suffix'), ('주다', 'Verb'), ('되다', 'Verb'), ('건가', 'Noun'), ('요', 'Josa')]","['거', '번', '건가']","['하다', '주다', '되다']","['거', '하다', '번', '주다', '되다', '건가']",이거 1년에 한 번씩 주면 되는 건가요,이 거 1년 에 하다 번 씩 주다 되다 건가,경쟁사(식물영양제)
2587,경쟁사,2023-04-27,5,식물영양제,긍정,0.585259804,naver,"[('그렇다', 'Adjective'), ('설명', 'Noun'), ('은', 'Josa'), ('몬본듯해', 'Noun'), ('서', 'Josa'), ('우선', 'Noun'), ('은', 'Josa'), ('자다', 'Verb'), ('받다', 'Verb')]","['설명', '몬본듯해', '우선']","['그렇다', '자다', '받다']","['그렇다', '설명', '몬본듯해', '우선', '자다', '받다']",그런 설명은 몬본듯해서 우선은 잘 받았습니다,그렇다 설명 몬본듯해 우선 자다 받다,경쟁사(식물영양제)
2588,경쟁사,2023-04-27,5,식물영양제,긍정,0.585603154,naver,"[('여기저기', 'Noun'), ('서', 'Josa'), ('많이', 'Adverb'), ('보다', 'Verb'), ('유명하다', 'Adjective'), ('거', 'Noun'), ('같다', 'Adjective'), ('구매', 'Noun'), ('하다', 'Verb')]","['여기저기', '거', '구매']","['보다', '유명하다', '같다', '하다']","['여기저기', '보다', '유명하다', '거', '같다', '구매', '하다']",여기저기서 많이 봐서 유명한 거 같아서 구매했어요,여기저기 많이 보다 유명하다 거 같다 구매 하다,경쟁사(식물영양제)
2589,경쟁사,2023-04-27,5,식물영양제,긍정,0.586939365,naver,"[('흐흐', 'Noun'), ('감사하다', 'Verb')]",['흐흐'],['감사하다'],"['흐흐', '감사하다']",흐흐 감사합니다,흐흐 감사하다,경쟁사(식물영양제)
2590,경쟁사,2023-04-23,5,식물영양제,긍정,0.586411497,naver,"[('오이랑', 'Noun'), ('딸기', 'Noun'), ('심다', 'Verb'), ('물이', 'Noun'), ('랑', 'Josa'), ('함께', 'Adverb'), ('섞다', 'Verb'), ('주다', 'Verb'), ('좋다', 'Adjective'), ('하다', 'Verb'), ('구매', 'Noun'), ('해봤다', 'Verb')]","['오이랑', '딸기', '물이', '구매']","['심다', '섞다', '주다', '좋다', '하다', '해봤다']","['오이랑', '딸기', '심다', '물이', '섞다', '주다', '좋다', '하다', '구매', '해봤다']",오이랑 딸기 심었는데 물이랑 함께 섞어서 주면 좋다고 해서 구매해봤어요,오이랑 딸기 심다 물이 함께 섞다 주다 좋다 하다 구매 해봤다,경쟁사(식물영양제)
2591,경쟁사,2023-04-23,5,식물영양제,긍정,0.586008009,naver,"[('여름', 'Noun'), ('에', 'Josa'), ('오이', 'Noun'), ('하다', 'Verb'), ('개', 'Noun'), ('라도', 'Josa'), ('꼭', 'Noun'), ('수확', 'Noun'), ('하다', 'Verb'), ('먹다', 'Verb'), ('보고', 'Noun'), ('싶다', 'Verb')]","['여름', '오이', '개', '꼭', '수확', '보고']","['하다', '하다', '먹다', '싶다']","['여름', '오이', '하다', '개', '꼭', '수확', '하다', '먹다', '보고', '싶다']",여름에 오이 한 개라도 꼭 수확해서 먹어보고 싶어요,여름 오이 하다 개 꼭 수확 하다 먹다 보고 싶다,경쟁사(식물영양제)
2592,경쟁사,2023-04-24,5,식물영양제,긍정,0.586238378,naver,"[('배송', 'Noun'), ('빠르다', 'Adjective'), ('채소', 'Noun'), ('벌벌', 'Noun'), ('하다', 'Verb'), ('자다', 'Verb'), ('자라다', 'Verb')]","['배송', '채소', '벌벌']","['빠르다', '하다', '자다', '자라다']","['배송', '빠르다', '채소', '벌벌', '하다', '자다', '자라다']",배송빠름 채소 벌벌 하게 잘 자람,배송 빠르다 채소 벌벌 하다 자다 자라다,경쟁사(식물영양제)
2593,경쟁사,2023-04-24,5,식물영양제,긍정,0.585910532,naver,"[('수확', 'Noun'), ('하다', 'Verb'), ('먹음', 'Noun')]","['수확', '먹음']",['하다'],"['수확', '하다', '먹음']",수확해서 먹음,수확 하다 먹음,경쟁사(식물영양제)
2594,경쟁사,2023-04-24,5,식물영양제,긍정,0.584899735,naver,"[('강력하다', 'Adjective'), ('추천', 'Noun'), ('함', 'Noun'), ('저렴하다', 'Adjective')]","['추천', '함']","['강력하다', '저렴하다']","['강력하다', '추천', '함', '저렴하다']",강력히 추천함 저렴함,강력하다 추천 함 저렴하다,경쟁사(식물영양제)
