index,name,time,rating,item,sentiment,sentiment_score,source,어간,noun,v_ad,n_v_ad,review_sentence,replace_slang_sentence,name+item
2583,경쟁사,2023-04-12,4,식물영양제,부정,0.549439618,naver,"[('배송', 'Noun'), ('빠르다', 'Adjective'), ('문의', 'Noun'), ('답변', 'Noun'), ('빠르다', 'Adjective'), ('판매', 'Noun'), ('자', 'Suffix'), ('분', 'Noun'), ('이', 'Josa'), ('성실하다', 'Adjective'), ('느낌', 'Noun'), ('이', 'Josa'), ('오다', 'Verb')]","['배송', '문의', '답변', '판매', '분', '느낌']","['빠르다', '빠르다', '성실하다', '오다']","['배송', '빠르다', '문의', '답변', '빠르다', '판매', '분', '성실하다', '느낌', '오다']",배송 빠르고 문의 답변 빠르고 판매자분이 성실하다 느낌이 오네요,배송 빠르다 문의 답변 빠르다 판매 자 분 성실하다 느낌 오다,경쟁사(식물영양제)
2584,경쟁사,2023-04-12,4,식물영양제,부정,0.549573979,naver,"[('스포이트', 'Noun'), ('로', 'Josa'), ('계량', 'Noun'), ('하다', 'Verb'), ('넣다', 'Verb'), ('되다', 'Verb'), ('쉬다', 'Verb'), ('넣다', 'Verb'), ('수', 'Noun'), ('있다', 'Adjective'), ('수경', 'Noun'), ('처음', 'Noun'), ('해보다', 'Verb'), ('딸기', 'Noun'), ('가', 'Josa'), ('자다', 'Verb'), ('크다', 'Verb'), ('하다', 'Verb')]","['스포이트', '계량', '수', '수경', '처음', '딸기']","['하다', '넣다', '되다', '쉬다', '넣다', '있다', '해보다', '자다', '크다', '하다']","['스포이트', '계량', '하다', '넣다', '되다', '쉬다', '넣다', '수', '있다', '수경', '처음', '해보다', '딸기', '자다', '크다', '하다']",스포이트로 계량해서 넣으면 되니 쉽게 넣을 수 있고 수경 처음 해보는데 딸기가 잘 컸으면 합니다,스포이트 계량 하다 넣다 되다 쉬다 넣다 수 있다 수경 처음 해보다 딸기 자다 크다 하다,경쟁사(식물영양제)
2585,경쟁사,2023-04-12,4,식물영양제,부정,0.549874264,naver,"[('옆면', 'Noun'), ('시', 'Modifier'), ('비용', 'Noun'), ('으로', 'Josa'), ('사용', 'Noun'), ('하다', 'Verb'), ('있다', 'Adjective'), ('다양하다', 'Adjective'), ('써다', 'Verb'), ('보다', 'Verb')]","['옆면', '비용', '사용']","['하다', '있다', '다양하다', '써다', '보다']","['옆면', '비용', '사용', '하다', '있다', '다양하다', '써다', '보다']",옆면 시비용으로 사용 할수고 있다니까 다양하게 써봐야겠네요,옆면 시 비용 사용 하다 있다 다양하다 써다 보다,경쟁사(식물영양제)
2614,경쟁사,2023-04-24,4,식물영양제,부정,0.547920763,naver,"[('물푸레', 'Noun'), ('좋다', 'Adjective'), ('하다', 'Verb'), ('구입', 'Noun'), ('하다', 'Verb'), ('열매', 'Noun'), ('가', 'Josa'), ('맛있다', 'Adjective'), ('수확', 'Noun'), ('되다', 'Verb'), ('믿다', 'Verb'), ('사용', 'Noun'), ('중', 'Noun')]","['물푸레', '구입', '열매', '수확', '사용', '중']","['좋다', '하다', '하다', '맛있다', '되다', '믿다']","['물푸레', '좋다', '하다', '구입', '하다', '열매', '맛있다', '수확', '되다', '믿다', '사용', '중']",물푸레 좋다고 해서 구입했는데 열매가 맛있게 수확된다고 믿고 사용 중,물푸레 좋다 하다 구입 하다 열매 맛있다 수확 되다 믿다 사용 중,경쟁사(식물영양제)
2633,경쟁사,2023-04-24,4,식물영양제,부정,0.548953447,naver,"[('자다', 'Verb'), ('쓰다', 'Verb')]",[],"['자다', '쓰다']","['자다', '쓰다']",잘 쓰겠습니다,자다 쓰다,경쟁사(식물영양제)
2634,경쟁사,2023-04-24,4,식물영양제,부정,0.548200682,naver,"[('많이', 'Adverb'), ('파다', 'Verb')]",[],['파다'],['파다'],많이 파세요,많이 파다,경쟁사(식물영양제)
2639,경쟁사,2023-04-24,4,식물영양제,부정,0.548759809,naver,"[('베란다', 'Noun'), ('딸기', 'Noun'), ('영양제', 'Noun'), ('로', 'Josa'), ('구입', 'Noun'), ('하다', 'Verb')]","['베란다', '딸기', '영양제', '구입']",['하다'],"['베란다', '딸기', '영양제', '구입', '하다']",베란다 딸기 영양제로 구입했어요,베란다 딸기 영양제 구입 하다,경쟁사(식물영양제)
2645,경쟁사,2023-04-14,3,식물영양제,부정,0.511422086,naver,"[('사용', 'Noun'), ('하다', 'Verb'), ('보고', 'Noun'), ('후기', 'Noun'), ('를', 'Josa'), ('남기다', 'Verb')]","['사용', '보고', '후기']","['하다', '남기다']","['사용', '하다', '보고', '후기', '남기다']",사용해 보고 후기를 남겨야겠어요,사용 하다 보고 후기 남기다,경쟁사(식물영양제)
2646,경쟁사,2023-04-14,3,식물영양제,부정,0.510181984,naver,"[('아직', 'Adverb'), ('은', 'Noun'), ('자다', 'Verb'), ('모르다', 'Verb')]",['은'],"['자다', '모르다']","['은', '자다', '모르다']",아직은 잘 모르겠네요,아직 은 자다 모르다,경쟁사(식물영양제)
2648,경쟁사,2023-04-19,4,식물영양제,부정,0.545473441,naver,"[('사용', 'Noun'), ('전', 'Noun'), ('이다', 'Adjective')]","['사용', '전']",['이다'],"['사용', '전', '이다']",사용 전 입니다,사용 전 이다,경쟁사(식물영양제)
