name,time,rating,source,item,kha_nng_은어전처리_sentence,감성결과,어간추출,sentence_조사제거
경쟁사,2023-04-25,5,naver,식물영양제,['덕분'],긍정,"[('덕분', 'Noun'), ('에', 'Josa'), ('튼튼하다', 'Adjective'), ('자다', 'Verb'), ('자라다', 'Verb'), ('것', 'Noun'), ('같다', 'Adjective')]",덕분 튼튼하다 자다 자라다 것 같다
경쟁사,2023-04-27,5,naver,식물영양제,"['주', '가']",긍정,"[('이', 'Determiner'), ('거', 'Noun'), ('1년', 'Number'), ('에', 'Foreign'), ('한번', 'Noun'), ('씩', 'Suffix'), ('주다', 'Verb'), ('되다', 'Verb'), ('가요', 'Noun')]",이 거 1년 에 한번 씩 주다 되다 가요
경쟁사,2023-04-27,5,naver,식물영양제,"['설명', '우선']",긍정,"[('그렇다', 'Adjective'), ('설명', 'Noun'), ('은', 'Josa'), ('몬본듯해', 'Noun'), ('서', 'Josa'), ('우선', 'Noun'), ('은', 'Josa'), ('잘', 'VerbPrefix'), ('받다', 'Verb')]",그렇다 설명 몬본듯해 우선 잘 받다
경쟁사,2023-04-27,5,naver,식물영양제,"['여기저기', '유명', '구매햇어용ㅎ', 'ㅎ']",긍정,"[('여기저기', 'Noun'), ('서', 'Josa'), ('말다', 'Verb'), ('보다', 'Verb'), ('유명하다', 'Adjective'), ('같다', 'Adjective'), ('구매', 'Noun'), ('하다', 'Verb'), ('ㅎㅎ', 'KoreanParticle')]",여기저기 말다 보다 유명하다 같다 구매 하다 ㅎㅎ
경쟁사,2023-04-27,5,naver,식물영양제,"['감사', '합니']",긍정,"[('감사하다', 'Verb')]",감사하다
경쟁사,2023-04-23,5,naver,식물영양제,"['딸기', '물', '구매']",긍정,"[('오이랑', 'Noun'), ('딸기', 'Noun'), ('심다', 'Verb'), ('물이', 'Noun'), ('랑', 'Josa'), ('함께', 'Adverb'), ('섞다', 'Verb'), ('주다', 'Verb'), ('좋다', 'Adjective'), ('하다', 'Verb'), ('구매', 'Noun'), ('해봤다', 'Verb')]",오이랑 딸기 심다 물이 함께 섞다 주다 좋다 하다 구매 해봤다
경쟁사,2023-04-23,5,naver,식물영양제,"['여름', '오이', '개', '수확', 'ㅠ']",긍정,"[('여름', 'Noun'), ('에', 'Josa'), ('오이', 'Noun'), ('한', 'Determiner'), ('개', 'Noun'), ('라도', 'Josa'), ('꼭', 'Noun'), ('수확', 'Noun'), ('하다', 'Verb'), ('먹다', 'Verb'), ('보다', 'Verb'), ('ㅠ', 'KoreanParticle')]",여름 오이 한 개 꼭 수확 하다 먹다 보다 ㅠ
경쟁사,2023-04-24,5,naver,식물영양제,"['배송빠름', '채소', '벌', '자람']",긍정,"[('배송', 'Noun'), ('빠르다', 'Adjective'), ('채소', 'Noun'), ('벌벌', 'Noun'), ('하', 'Suffix'), ('게', 'Josa'), ('잘', 'VerbPrefix'), ('자라다', 'Verb')]",배송 빠르다 채소 벌벌 하 잘 자라다
경쟁사,2023-04-24,5,naver,식물영양제,['수확'],긍정,"[('수확', 'Noun'), ('하다', 'Verb'), ('먹음', 'Noun')]",수확 하다 먹음
경쟁사,2023-04-24,5,naver,식물영양제,['추'],긍정,"[('강', 'Noun'), ('추하다', 'Adjective'), ('저렴하다', 'Adjective')]",강 추하다 저렴하다
경쟁사,2023-04-20,5,naver,식물영양제,['생각'],긍정,"[('생각', 'Noun'), ('보다', 'Josa'), ('크다', 'Verb')]",생각 크다
경쟁사,2023-04-20,5,naver,식물영양제,['토마토'],긍정,"[('토마토', 'Noun'), ('가', 'Josa'), ('예쁘다', 'Adjective'), ('잘', 'VerbPrefix'), ('자르다', 'Verb'), ('좋다', 'Adjective')]",토마토 예쁘다 잘 자르다 좋다
경쟁사,2023-04-27,5,naver,식물영양제,[],긍정,"[('무럭무럭', 'Noun'), ('자다', 'Verb'), ('자르다', 'Verb'), ('좋다', 'Adjective')]",무럭무럭 자다 자르다 좋다
경쟁사,2023-04-27,5,naver,식물영양제,"['후', '기대']",긍정,"[('하다', 'Verb'), ('달', 'Noun'), ('후', 'Noun'), ('를', 'Josa'), ('기대', 'Noun'), ('해보다', 'Verb')]",하다 달 후 기대 해보다
경쟁사,2023-04-23,5,naver,식물영양제,"['효과', '만점']",긍정,"[('효과', 'Noun'), ('만점', 'Noun'), ('이다', 'Adjective')]",효과 만점 이다
경쟁사,2023-04-23,5,naver,식물영양제,[],긍정,"[('쑥쑥', 'Adverb'), ('자라', 'Noun'), ('요', 'Josa')]",쑥쑥 자라
경쟁사,2023-04-25,5,naver,식물영양제,"['수경', '재배', '영양제']",긍정,"[('수경재배', 'Noun'), ('하다', 'Verb'), ('영양', 'Noun'), ('제로', 'Noun'), ('주다', 'Verb'), ('보다', 'Verb')]",수경재배 하다 영양 제로 주다 보다
