index,name,time,rating,item,sentiment,sentiment_score,source,어간,noun,v_ad,n_v_ad,review_sentence,replace_slang_sentence,name+item
2193,경쟁사,2023-04-17,4,뿌리영양제,부정,0.549188629,naver,"[('기존', 'Noun'), ('에', 'Josa'), ('따사로운햇볕', 'Noun'), ('사용', 'Noun'), ('하고', 'Josa'), ('효과', 'Noun'), ('가', 'Josa'), ('좋다', 'Adjective'), ('뿌리영양제', 'Noun'), ('도', 'Josa'), ('구매', 'Noun'), ('하다', 'Verb')]","['기존', '따사로운햇볕', '사용', '효과', '뿌리영양제', '구매']","['좋다', '하다']","['기존', '따사로운햇볕', '사용', '효과', '좋다', '뿌리영양제', '구매', '하다']",기존에 따사로운햇볕 사용하고 효과가 좋아서 뿌리영양제도 구매했습니다,기존 따사로운햇볕 사용 효과 좋다 뿌리영양제 구매 하다,경쟁사(뿌리영양제)
2194,경쟁사,2023-04-17,4,뿌리영양제,부정,0.546712834,naver,"[('이제', 'Noun'), ('한번', 'Noun'), ('사용', 'Noun'), ('하다', 'Verb'), ('효과', 'Noun'), ('는', 'Josa'), ('기대', 'Noun'), ('중', 'Noun'), ('이다', 'Adjective')]","['이제', '한번', '사용', '효과', '기대', '중']","['하다', '이다']","['이제', '한번', '사용', '하다', '효과', '기대', '중', '이다']",이제 한번 사용해서 효과는 기대 중입니다,이제 한번 사용 하다 효과 기대 중 이다,경쟁사(뿌리영양제)
2195,경쟁사,2023-04-17,4,뿌리영양제,부정,0.545939651,naver,"[('다만', 'Noun'), ('통', 'Noun'), ('에서', 'Josa'), ('소량', 'Noun'), ('계량컵', 'Noun'), ('에', 'Josa'), ('따르다', 'Verb'), ('조심', 'Noun'), ('히', 'Adverb'), ('따르다', 'Verb'), ('꿀꺽', 'Noun'), ('꿀꺽', 'Noun'), ('나오다', 'Verb'), ('한두', 'Modifier'), ('방울', 'Noun'), ('이', 'Josa'), ('계속', 'Noun'), ('흘리다', 'Verb'), ('그게', 'Noun'), ('좀', 'Noun'), ('불편하다', 'Adjective'), ('거', 'Noun'), ('빼다', 'Verb'), ('좋다', 'Adjective')]","['다만', '통', '소량', '계량컵', '조심', '꿀꺽', '꿀꺽', '방울', '계속', '그게', '좀', '거']","['따르다', '따르다', '나오다', '흘리다', '불편하다', '빼다', '좋다']","['다만', '통', '소량', '계량컵', '따르다', '조심', '따르다', '꿀꺽', '꿀꺽', '나오다', '방울', '계속', '흘리다', '그게', '좀', '불편하다', '거', '빼다', '좋다']",다만 통에서 소량 계량컵에 따르는데 조심히 따라도 꿀꺽꿀꺽 나와서 한두 방울이 계속 흘리는데 그게 좀 불편한 거 빼고는 좋습니다,다만 통 소량 계량컵 따르다 조심 히 따르다 꿀꺽 꿀꺽 나오다 한두 방울 계속 흘리다 그게 좀 불편하다 거 빼다 좋다,경쟁사(뿌리영양제)
2583,경쟁사,2023-04-12,4,식물영양제,부정,0.549439618,naver,"[('배송', 'Noun'), ('빠르다', 'Adjective'), ('문의', 'Noun'), ('답변', 'Noun'), ('빠르다', 'Adjective'), ('판매', 'Noun'), ('자', 'Suffix'), ('분', 'Noun'), ('이', 'Josa'), ('성실하다', 'Adjective'), ('느낌', 'Noun'), ('이', 'Josa'), ('오다', 'Verb')]","['배송', '문의', '답변', '판매', '분', '느낌']","['빠르다', '빠르다', '성실하다', '오다']","['배송', '빠르다', '문의', '답변', '빠르다', '판매', '분', '성실하다', '느낌', '오다']",배송 빠르고 문의 답변 빠르고 판매자분이 성실하다 느낌이 오네요,배송 빠르다 문의 답변 빠르다 판매 자 분 성실하다 느낌 오다,경쟁사(식물영양제)
2584,경쟁사,2023-04-12,4,식물영양제,부정,0.549573979,naver,"[('스포이트', 'Noun'), ('로', 'Josa'), ('계량', 'Noun'), ('하다', 'Verb'), ('넣다', 'Verb'), ('되다', 'Verb'), ('쉬다', 'Verb'), ('넣다', 'Verb'), ('수', 'Noun'), ('있다', 'Adjective'), ('수경', 'Noun'), ('처음', 'Noun'), ('해보다', 'Verb'), ('딸기', 'Noun'), ('가', 'Josa'), ('자다', 'Verb'), ('크다', 'Verb'), ('하다', 'Verb')]","['스포이트', '계량', '수', '수경', '처음', '딸기']","['하다', '넣다', '되다', '쉬다', '넣다', '있다', '해보다', '자다', '크다', '하다']","['스포이트', '계량', '하다', '넣다', '되다', '쉬다', '넣다', '수', '있다', '수경', '처음', '해보다', '딸기', '자다', '크다', '하다']",스포이트로 계량해서 넣으면 되니 쉽게 넣을 수 있고 수경 처음 해보는데 딸기가 잘 컸으면 합니다,스포이트 계량 하다 넣다 되다 쉬다 넣다 수 있다 수경 처음 해보다 딸기 자다 크다 하다,경쟁사(식물영양제)
2585,경쟁사,2023-04-12,4,식물영양제,부정,0.549874264,naver,"[('옆면', 'Noun'), ('시', 'Modifier'), ('비용', 'Noun'), ('으로', 'Josa'), ('사용', 'Noun'), ('하다', 'Verb'), ('있다', 'Adjective'), ('다양하다', 'Adjective'), ('써다', 'Verb'), ('보다', 'Verb')]","['옆면', '비용', '사용']","['하다', '있다', '다양하다', '써다', '보다']","['옆면', '비용', '사용', '하다', '있다', '다양하다', '써다', '보다']",옆면 시비용으로 사용 할수고 있다니까 다양하게 써봐야겠네요,옆면 시 비용 사용 하다 있다 다양하다 써다 보다,경쟁사(식물영양제)
2614,경쟁사,2023-04-24,4,식물영양제,부정,0.547920763,naver,"[('물푸레', 'Noun'), ('좋다', 'Adjective'), ('하다', 'Verb'), ('구입', 'Noun'), ('하다', 'Verb'), ('열매', 'Noun'), ('가', 'Josa'), ('맛있다', 'Adjective'), ('수확', 'Noun'), ('되다', 'Verb'), ('믿다', 'Verb'), ('사용', 'Noun'), ('중', 'Noun')]","['물푸레', '구입', '열매', '수확', '사용', '중']","['좋다', '하다', '하다', '맛있다', '되다', '믿다']","['물푸레', '좋다', '하다', '구입', '하다', '열매', '맛있다', '수확', '되다', '믿다', '사용', '중']",물푸레 좋다고 해서 구입했는데 열매가 맛있게 수확된다고 믿고 사용 중,물푸레 좋다 하다 구입 하다 열매 맛있다 수확 되다 믿다 사용 중,경쟁사(식물영양제)
2633,경쟁사,2023-04-24,4,식물영양제,부정,0.548953447,naver,"[('자다', 'Verb'), ('쓰다', 'Verb')]",[],"['자다', '쓰다']","['자다', '쓰다']",잘 쓰겠습니다,자다 쓰다,경쟁사(식물영양제)
2634,경쟁사,2023-04-24,4,식물영양제,부정,0.548200682,naver,"[('많이', 'Adverb'), ('파다', 'Verb')]",[],['파다'],['파다'],많이 파세요,많이 파다,경쟁사(식물영양제)
2639,경쟁사,2023-04-24,4,식물영양제,부정,0.548759809,naver,"[('베란다', 'Noun'), ('딸기', 'Noun'), ('영양제', 'Noun'), ('로', 'Josa'), ('구입', 'Noun'), ('하다', 'Verb')]","['베란다', '딸기', '영양제', '구입']",['하다'],"['베란다', '딸기', '영양제', '구입', '하다']",베란다 딸기 영양제로 구입했어요,베란다 딸기 영양제 구입 하다,경쟁사(식물영양제)
