name,time,rating,source,item,kha_nng_은어전처리_sentence,감성결과,어간추출,sentence_조사제거
경쟁사,2023-04-12,4,naver,식물영양제,"['배송', '문의', '답변', '판매자분', '성실', '느낌', '오네']",부정,"[('배송', 'Noun'), ('빠르다', 'Adjective'), ('문의', 'Noun'), ('답변', 'Noun'), ('빠르다', 'Adjective'), ('판매', 'Noun'), ('자', 'Suffix'), ('분', 'Noun'), ('이', 'Josa'), ('성실하다', 'Adjective'), ('느낌', 'Noun'), ('이', 'Josa'), ('오다', 'Verb')]",배송 빠르다 문의 답변 빠르다 판매 자 분 성실하다 느낌 오다
경쟁사,2023-04-12,4,naver,식물영양제,"['요스포이드', '계량', '수경', '처음', '딸기']",부정,"[('요', 'Modifier'), ('스포이드', 'Noun'), ('로', 'Josa'), ('계량', 'Noun'), ('하다', 'Verb'), ('넣다', 'Verb'), ('되다', 'Verb'), ('쉬다', 'Verb'), ('넣다', 'Verb'), ('있다', 'Adjective'), ('수경', 'Noun'), ('처음', 'Noun'), ('해보다', 'Verb'), ('딸기', 'Noun'), ('가', 'Josa'), ('잘', 'VerbPrefix'), ('크다', 'Verb'), ('하다', 'Verb')]",요 스포이드 계량 하다 넣다 되다 쉬다 넣다 있다 수경 처음 해보다 딸기 잘 크다 하다
경쟁사,2023-04-12,4,naver,식물영양제,"['옆면', '시비용', '사용', '다양']",부정,"[('옆면', 'Noun'), ('시', 'Modifier'), ('비용', 'Noun'), ('으로', 'Josa'), ('사용', 'Noun'), ('하다', 'Verb'), ('있다', 'Adjective'), ('다양하다', 'Adjective'), ('써다', 'Verb'), ('보다', 'Verb'), ('겠다', 'Verb')]",옆면 시 비용 사용 하다 있다 다양하다 써다 보다 겠다
경쟁사,2023-04-24,4,naver,식물영양제,"['물푸레', '나무', '구입', '열매', '수확', '사용']",부정,"[('물푸레', 'Noun'), ('나무', 'Noun'), ('좋다', 'Adjective'), ('하다', 'Verb'), ('구입', 'Noun'), ('하다', 'Verb'), ('열매', 'Noun'), ('가', 'Josa'), ('맛있다', 'Adjective'), ('수확', 'Noun'), ('되다', 'Verb'), ('믿다', 'Verb'), ('사용', 'Noun'), ('중', 'Suffix')]",물푸레 나무 좋다 하다 구입 하다 열매 맛있다 수확 되다 믿다 사용 중
경쟁사,2023-04-24,4,naver,식물영양제,[],부정,"[('잘쓰다', 'Verb')]",잘쓰다
경쟁사,2023-04-24,4,naver,식물영양제,[],부정,"[('많이', 'Adverb'), ('파다', 'Verb')]",많이 파다
경쟁사,2023-04-24,4,naver,식물영양제,"['베란다', '딸기영먕', '구입']",부정,"[('베란다', 'Noun'), ('딸기', 'Noun'), ('영', 'Modifier'), ('먕', 'Noun'), ('제로', 'Noun'), ('구입', 'Noun'), ('하다', 'Verb')]",베란다 딸기 영 먕 제로 구입 하다
경쟁사,2023-04-14,3,naver,식물영양제,"['사용', '후기']",부정,"[('사용', 'Noun'), ('해보다', 'Verb'), ('후기', 'Noun'), ('를', 'Josa'), ('남기다', 'Verb')]",사용 해보다 후기 남기다
경쟁사,2023-04-14,3,naver,식물영양제,[],부정,"[('아직', 'Adverb'), ('은', 'Noun'), ('자다', 'Verb'), ('모르다', 'Verb')]",아직 은 자다 모르다
경쟁사,2023-04-19,4,naver,식물영양제,"['사용', '전']",부정,"[('사용', 'Noun'), ('전', 'Noun'), ('이다', 'Adjective')]",사용 전 이다
경쟁사,2023-04-19,4,naver,식물영양제,['추후'],부정,"[('추후', 'Noun'), ('다시', 'Noun'), ('올리다', 'Verb')]",추후 다시 올리다
경쟁사,2023-04-17,4,naver,식물영양제,"['상품', '배송', '차질']",부정,"[('상품', 'Noun'), ('배송', 'Noun'), ('에', 'Josa'), ('차질', 'Noun'), ('이', 'Josa'), ('있다', 'Adjective'), ('자다', 'Verb'), ('받다', 'Verb')]",상품 배송 차질 있다 자다 받다
경쟁사,2023-04-08,4,naver,식물영양제,"['리뷰', '구매']",부정,"[('리뷰', 'Noun'), ('보고', 'Noun'), ('구매', 'Noun'), ('하다', 'Verb'), ('ㅡ', 'KoreanParticle')]",리뷰 보고 구매 하다 ㅡ
경쟁사,2023-04-08,4,naver,식물영양제,"['시비', '이상']",부정,"[('한번', 'Noun'), ('시비', 'Noun'), ('해봤다', 'Verb'), ('이상은', 'Noun'), ('없이', 'Adverb'), ('잘', 'VerbPrefix'), ('자라다', 'Verb'), ('있다', 'Adjective')]",한번 시비 해봤다 이상은 없이 잘 자라다 있다
경쟁사,2023-04-15,4,naver,식물영양제,"['배송', '감사']",부정,"[('빠르다', 'Adjective'), ('배송', 'Noun'), ('감사하다', 'Verb')]",빠르다 배송 감사하다
경쟁사,2023-04-15,4,naver,식물영양제,"['배송', '감사']",부정,"[('빠르다', 'Adjective'), ('배송', 'Noun'), ('감사하다', 'Verb')]",빠르다 배송 감사하다
