name,time,rating,source,item,kha_nng_은어전처리_sentence,감성결과,어간추출,sentence_조사제거
꽃피우는시간,2022-12-23,5,coupang,식물영양제,"['동안', '정도', '희석', '정도소', '소중', '품', '다육식물', '일반', '식물', '사용']",긍정,"[('10일', 'Number'), ('동안', 'Noun'), ('3', 'Number'), ('4', 'Number'), ('번', 'Noun'), ('정도', 'Noun'), ('희다', 'Adjective'), ('석', 'Noun'), ('없이', 'Adverb'), ('총', 'Noun'), ('800', 'Number'), ('ml', 'Alpha'), ('정도', 'Noun'), ('소', 'Noun'), ('소', 'Modifier'), ('중', 'Noun'), ('품', 'Noun'), ('다육식물', 'Noun'), ('와', 'Josa'), ('일반', 'Noun'), ('식물', 'Noun'), ('사용', 'Noun'), ('하다', 'Verb')]",10일 동안 3 4 번 정도 희다 석 없이 총 800 ml 정도 소 소 중 품 다육식물 일반 식물 사용 하다
꽃피우는시간,2022-12-23,5,coupang,식물영양제,"['잎', '물', '말', '분무기', '잎', '말', '사용법']",긍정,"[('잎', 'Noun'), ('에', 'Josa'), ('닫다', 'Verb'), ('않다', 'Verb'), ('물', 'Noun'), ('을', 'Josa'), ('주', 'Noun'), ('라는', 'Josa'), ('말', 'Noun'), ('도', 'Josa'), ('있다', 'Adjective'), ('찾아보다', 'Verb'), ('분무기', 'Noun'), ('로', 'Josa'), ('잎', 'Noun'), ('에', 'Josa'), ('뿌리다', 'Verb'), ('말', 'Noun'), ('도', 'Josa'), ('있다', 'Adjective'), ('사', 'Modifier'), ('용법', 'Noun'), ('이', 'Josa'), ('좀', 'Noun'), ('헷갈리다', 'Adjective'), ('저', 'Noun'), ('는', 'Josa'), ('두다', 'Verb'), ('하다', 'Verb')]",잎 닫다 않다 물 주 말 있다 찾아보다 분무기 잎 뿌리다 말 있다 사 용법 좀 헷갈리다 저 두다 하다
꽃피우는시간,2022-12-23,5,coupang,식물영양제,"['다육식물', '분무', '경우', '얼룩', '물', '목초액', '냄새', '거실', '화분', '정도', '겨울', '소량', '사용', '화분', '잔여향']",긍정,"[('분', 'Noun'), ('이', 'Josa'), ('있다', 'Adjective'), ('다육식물', 'Noun'), ('에', 'Josa'), ('분무', 'Noun'), ('하다', 'Verb'), ('경우', 'Noun'), ('얼룩', 'Noun'), ('이', 'Josa'), ('조금', 'Noun'), ('남지', 'Noun'), ('만', 'Josa'), ('물', 'Noun'), ('로', 'Josa'), ('쉬다', 'Verb'), ('지워지다', 'Verb'), ('목초액', 'Noun'), ('냄새', 'Noun'), ('가', 'Josa'), ('아주', 'Noun'), ('약하다', 'Adjective'), ('나다', 'Verb'), ('거실', 'Noun'), ('에서', 'Josa'), ('화분', 'Noun'), ('5', 'Number'), ('개', 'Noun'), ('정도', 'Noun'), ('에', 'Josa'), ('겨울', 'Noun'), ('이라', 'Josa'), ('소량', 'Noun'), ('만', 'Josa'), ('사용', 'Noun'), ('하다', 'Verb'), ('화분', 'Noun'), ('과', 'Josa'), ('멀어지다', 'Verb'), ('잔', 'Noun'), ('여', 'Josa'), ('향', 'Noun'), ('은', 'Josa'), ('느껴지다', 'Verb'), ('않다', 'Verb')]",분 있다 다육식물 분무 하다 경우 얼룩 조금 남지 물 쉬다 지워지다 목초액 냄새 아주 약하다 나다 거실 화분 5 개 정도 겨울 소량 사용 하다 화분 멀어지다 잔 향 느껴지다 않다
꽃피우는시간,2022-12-23,5,coupang,식물영양제,"['결과', '배송', '때', '잎', '줄', '다육식물', '자구']",긍정,"[('결과', 'Noun'), ('는', 'Josa'), ('배송', 'Noun'), ('올', 'Modifier'), ('때', 'Noun'), ('잎', 'Noun'), ('이', 'Josa'), ('떨어지다', 'Verb'), ('줄기', 'Noun'), ('만', 'Josa'), ('앙상하다', 'Adjective'), ('아메', 'Noun'), ('치스', 'Noun'), ('다육식물', 'Noun'), ('에', 'Josa'), ('자구', 'Noun'), ('들', 'Suffix'), ('이', 'Josa'), ('달리다', 'Verb')]",결과 배송 올 때 잎 떨어지다 줄기 앙상하다 아메 치스 다육식물 자구 들 달리다
꽃피우는시간,2022-12-23,5,coupang,식물영양제,['생장점'],긍정,"[('물론', 'Adverb'), ('생장점', 'Noun'), ('을', 'Josa'), ('긁다', 'Verb'), ('하다', 'Verb')]",물론 생장점 긁다 하다
꽃피우는시간,2022-12-23,5,coupang,식물영양제,"['라', '다육식물', '도', '얼굴', '기', '얘']",긍정,"[('라울', 'Noun'), ('다육식물', 'Noun'), ('도', 'Noun'), ('멍하다', 'Adjective'), ('얼굴', 'Noun'), ('이', 'Josa'), ('있다', 'Adjective'), ('하다', 'Verb'), ('개', 'Noun'), ('만', 'Josa'), ('꼬집다', 'Verb'), ('해', 'Noun'), ('주다', 'Verb'), ('얘', 'Noun'), ('도', 'Josa'), ('두', 'Noun'), ('개', 'Noun'), ('나', 'Josa'), ('올라오다', 'Verb')]",라울 다육식물 도 멍하다 얼굴 있다 하다 개 꼬집다 해 주다 얘 두 개 올라오다
꽃피우는시간,2022-12-23,5,coupang,식물영양제,"['베란다', '거실', '다', '힘', '적응', '타이밍', '꽃기린', '꽃대', '배']",긍정,"[('베란다', 'Noun'), ('에', 'Josa'), ('있다', 'Adjective'), ('거실', 'Noun'), ('로', 'Josa'), ('오다', 'Verb'), ('다', 'Adverb'), ('들다', 'Verb'), ('힘', 'Noun'), ('이', 'Josa'), ('없다', 'Adjective'), ('이제', 'Noun'), ('적응하다', 'Adjective'), ('타이밍', 'Noun'), ('과', 'Josa'), ('맞다', 'Verb'), ('건지다', 'Verb'), ('모르다', 'Verb'), ('꽃', 'Noun'), ('기린', 'Noun'), ('은', 'Josa'), ('꽃대', 'Noun'), ('가', 'Josa'), ('두', 'Noun'), ('배', 'Noun'), ('로', 'Josa'), ('달리다', 'Verb')]",베란다 있다 거실 오다 다 들다 힘 없다 이제 적응하다 타이밍 맞다 건지다 모르다 꽃 기린 꽃대 두 배 달리다
꽃피우는시간,2022-12-23,5,coupang,식물영양제,"['기존', '햇볕', '색', '빨강', '효과']",긍정,"[('기존', 'Noun'), ('것', 'Noun'), ('과', 'Josa'), ('달리', 'Noun'), ('햇볕', 'Noun'), ('주다', 'Verb'), ('나서다', 'Verb'), ('색도', 'Noun'), ('진하다', 'Adjective'), ('빨강', 'Noun'), ('효과', 'Noun'), ('는', 'Josa'), ('있다', 'Adjective'), ('보이다', 'Verb')]",기존 것 달리 햇볕 주다 나서다 색도 진하다 빨강 효과 있다 보이다
꽃피우는시간,2022-12-23,5,coupang,식물영양제,"['란타', '꽃', '시작', '햇빛', '때', '계열', '늦가을', '노랑', '분홍']",긍정,"[('란', 'Noun'), ('타나', 'Noun'), ('도', 'Josa'), ('꽃', 'Noun'), ('을', 'Josa'), ('다시', 'Noun'), ('피우다', 'Verb'), ('시작', 'Noun'), ('하다', 'Verb'), ('햇빛', 'Noun'), ('가장', 'Noun'), ('많이', 'Adverb'), ('받다', 'Verb'), ('때', 'Noun'), ('나', 'Noun'), ('는', 'Josa'), ('붉다', 'Adjective'), ('계열', 'Noun'), ('로', 'Josa'), ('물들다', 'Verb'), ('늦가을', 'Noun'), ('들다', 'Verb'), ('노랑', 'Noun'), ('분홍', 'Noun'), ('만', 'Josa'), ('오다', 'Verb'), ('가다', 'Verb'), ('하다', 'Verb'), ('신기하다', 'Adjective')]",란 타나 꽃 다시 피우다 시작 하다 햇빛 가장 많이 받다 때 나 붉다 계열 물들다 늦가을 들다 노랑 분홍 오다 가다 하다 신기하다
꽃피우는시간,2022-12-23,5,coupang,식물영양제,"['거실', '걱정', '햇볕', '안심']",긍정,"[('거실', 'Noun'), ('에서', 'Josa'), ('월동', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('보다', 'Verb'), ('걱정', 'Noun'), ('이', 'Josa'), ('많이', 'Adverb'), ('되어다', 'Verb'), ('햇볕', 'Noun'), ('하나', 'Noun'), ('있다', 'Adjective'), ('또', 'Noun'), ('안심', 'Noun'), ('되다', 'Verb'), ('그렇다', 'Adjective')]",거실 월동 하다 보다 걱정 많이 되어다 햇볕 하나 있다 또 안심 되다 그렇다
